,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Do you have medical coverage (private insurance or state-provided) which includes treatment of mental health issues?,"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,Do you have previous employers?,Did you feel that your previous employers took mental health as seriously as physical health?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,Do you work remotely?,target_current_condition,target_seek_treatment,diagnosis_reported_flag
Would you feel comfortable discussing a mental health disorder with your coworkers?,,0.09921882399479497,-0.034145464888860944,0.11479353836073879,0.1368291795185732,0.19232080181081188,0.12038191153458716,0.3509653529413895,-0.44663518511865913,-0.24761058891634555,1.0,0.6241322988524824,0.28144158644467554,,,,0.060306415473612145,0.07171945394821687,0.1720767619461287,0.2922672063037701,0.3716132235922184,-0.017703073736375093,0.003061631583992293,-0.03275424799181421,0.02513322277087063,0.037513886029569385,-0.06731480788890346,0.015452307540694236,0.0445877471454126,0.1578895253442592,-0.03275424799181421,0.037513886029569385,0.02188417210795452
Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,,0.0283821466617715,0.07123125467534758,0.12393223416509372,0.1335996164732247,0.22063024281190868,0.17334666794692194,0.4562024693928101,-0.5580652724675239,-0.34296393043385603,0.6241322988524824,1.0,0.39926189019816855,,,,0.11987192966393298,0.0737860938635149,0.190462280593803,0.3034004746310467,0.300684573780722,-0.02171500665416167,-0.029945498606608754,-0.05625379054314198,-0.016148987356413902,-0.032012323871817225,-0.09390676301211491,-0.041227086831151234,0.041866713217018486,0.16342645690527882,-0.05625379054314198,-0.032012323871817225,-0.019757070592809806
Do you feel that your employer takes mental health as seriously as physical health?,,0.05447310231469736,0.010472550469871753,0.07634241021905475,0.05641234173704654,0.29537485624345816,0.18368284268557655,0.46160963495452534,-0.4889055293555002,-0.2572506632398729,0.28144158644467554,0.39926189019816855,1.0,,,,0.059569869616073357,0.21043464473192028,0.11193547124558846,0.21526652019825732,0.13139373585527786,-0.07804580194643054,-0.10282369024814503,-0.13516707588081614,-0.09320840958981347,-0.08179484115719363,-0.08003389070591335,-0.013099432847693828,-0.02833095122259175,0.16085563274479062,-0.13516707588081614,-0.08179484115719363,-0.0974690757693081
Do you have medical coverage (private insurance or state-provided) which includes treatment of mental health issues?,,,,,,,,,,,,,,1.0,-0.0008311127844608946,0.043834086244399106,0.05358405801082471,0.006745405414170934,-0.000697615512108379,0.006219507570266805,0.049747312688989444,0.052697270262783605,0.04776973164738614,0.07451960600015128,0.07219065277825588,0.0858890239538671,-0.11734457784738153,-0.016692978541507152,-0.01683191647694541,0.09277125017159943,0.07451960600015128,0.0858890239538671,0.08156271406709242
"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",,,,,,,,,,,,,,-0.0008311127844608946,1.0,0.0366810562085626,-0.024079708796648235,-0.2803378174356467,-0.10399784136450645,-0.29514740424930047,-0.19850939586512262,0.23441716490909414,0.0721628282390401,0.18059927760433434,-0.03334485081144951,0.13929638020771856,0.13563492563197171,0.13314765572717588,0.019664865060608556,0.11140905856824275,0.18059927760433434,0.13929638020771856,-0.03395147691466828
Do you believe your productivity is ever affected by a mental health issue?,,,,,,,,,,,,,,0.043834086244399106,0.0366810562085626,1.0,-0.06792982629624915,-0.32080511036903664,0.05161041354160026,-0.009926074134579943,0.01772920425040211,0.286866565477487,0.5687724589269213,0.5462338304452208,0.36744510096466504,0.4074049686520542,0.25152862785803093,0.15000985057025257,0.062295845852708004,0.019942710289597994,0.5462338304452208,0.4074049686520542,0.3632030372579041
Do you have previous employers?,-0.022451212671894878,0.03871449298235473,0.04516101541428192,0.06607734443967117,0.03729131584903399,0.021601258624974817,0.04669095192719647,-0.00565462140567128,-0.06276392584367518,-0.030848213896944074,0.060306415473612145,0.11987192966393298,0.059569869616073357,0.05358405801082471,-0.024079708796648235,-0.06792982629624915,1.0,,-0.004851952666442345,0.003647149243265719,0.07524670031990445,0.07649712025361065,0.11081645218191932,0.04805959321244847,0.062490135516646665,0.08321368174419944,-0.06470353021029801,-0.00890388222385553,0.14865582025969032,0.12342764301607208,0.04805959321244847,0.08321368174419944,0.05994022147530624
Did you feel that your previous employers took mental health as seriously as physical health?,-0.030602599733677606,0.010004443295796908,0.04989243298982926,-0.010264869036920534,-0.05395505670664088,-0.041618654823712034,-0.009973791063422593,0.177034941026022,-0.13314166163109084,-0.07514888203252088,0.07171945394821687,0.0737860938635149,0.21043464473192028,0.006745405414170934,-0.2803378174356467,-0.32080511036903664,,1.0,0.039151534370471634,0.1719131545984548,0.06923648259062064,-0.17637441309358506,-0.25420571526742297,-0.2630330832031364,-0.2022111775201494,-0.19939408149422744,0.010684450569055499,-0.1489961011299955,-0.02719958841529517,-0.03480908871299754,-0.2630330832031364,-0.19939408149422744,-0.19625127085701172
Would you be willing to bring up a physical health issue with a potential employer in an interview?,0.03141725464347116,0.002383300905756474,-0.04559820675295133,0.0030740189679686046,0.05643574756087474,0.04255162168941145,0.028995950140099966,0.12806760966880995,-0.19760628875219158,-0.22465829611263263,0.1720767619461287,0.190462280593803,0.11193547124558846,-0.000697615512108379,-0.10399784136450645,0.05161041354160026,-0.004851952666442345,0.039151534370471634,1.0,0.5106613852648616,0.16207892186284037,-0.01219468853293952,-0.018903530596675194,-0.039263998220617116,-0.041269244634899616,-0.0018828576672023165,-0.034241851747696526,-0.019413175548010576,-0.06300514554531625,0.038969563506347636,-0.039263998220617116,-0.0018828576672023165,-0.0361860021349244
Would you bring up a mental health issue with a potential employer in an interview?,0.034022299197467964,0.01184994830478952,0.015111983010108122,-0.04310434791246787,0.013441133755484433,0.04909815211622192,0.05881631991306672,0.26851015577465953,-0.3089611261446635,-0.14077414537865637,0.2922672063037701,0.3034004746310467,0.21526652019825732,0.006219507570266805,-0.29514740424930047,-0.009926074134579943,0.003647149243265719,0.1719131545984548,0.5106613852648616,1.0,0.18576787012175208,-0.11963693482749692,-0.1657316762514041,-0.15999227628503035,-0.12671313296365014,-0.12598430144376113,-0.017403320670409755,-0.09785487646739129,-0.03132835371217862,0.09003186897994292,-0.15999227628503035,-0.12598430144376113,-0.1260371998903757
How willing would you be to share with friends and family that you have a mental illness?,0.036482203272984244,0.055904242710957903,0.0858077327692541,0.10737130893953038,0.16898330662045155,0.10197758559580516,0.05415204063971006,0.2134010691728914,-0.19997925378961295,-0.16967581808861357,0.3716132235922184,0.300684573780722,0.13139373585527786,0.049747312688989444,-0.19850939586512262,0.01772920425040211,0.07524670031990445,0.06923648259062064,0.16207892186284037,0.18576787012175208,1.0,0.034786756589785216,0.11067892556497472,0.05336329575438938,0.13807166585496594,0.14326148760579713,-0.06099259297756135,0.07861189080067675,0.028789902497783005,0.09704076408589976,0.05336329575438938,0.14326148760579713,0.1392666559523222
Do you have a family history of mental illness?,-0.008720718379952582,-0.01994481211598629,-0.010295114444929242,0.08688657936212306,0.18617568391499334,0.006433249613615047,0.028366794823207083,-0.15038804634026426,0.11640716800652007,0.024215717363656127,-0.017703073736375093,-0.02171500665416167,-0.07804580194643054,0.052697270262783605,0.23441716490909414,0.286866565477487,0.07649712025361065,-0.17637441309358506,-0.01219468853293952,-0.11963693482749692,0.034786756589785216,1.0,0.4867085966816592,0.44572328819131823,0.39531297893834044,0.4002306543411742,0.0298255613343504,0.15085891195600906,-0.04302039541853031,0.019101500289067704,0.44572328819131823,0.4002306543411742,0.3916154245341888
Have you had a mental health disorder in the past?,0.05973274654943712,0.01786665790333765,0.10419659574662386,0.1387884604970978,0.25874199548791027,-0.017053626434165307,0.025527389251779872,-0.1708024437295029,0.137740031976283,0.037348267534200445,0.003061631583992293,-0.029945498606608754,-0.10282369024814503,0.04776973164738614,0.0721628282390401,0.5687724589269213,0.11081645218191932,-0.25420571526742297,-0.018903530596675194,-0.1657316762514041,0.11067892556497472,0.4867085966816592,1.0,0.755839421251021,0.7872127803500566,0.7539337434504102,0.06987526308074818,0.21650056009786306,0.07502861686476732,0.0064369322411741816,0.755839421251021,0.7539337434504102,0.7827997782650266
Do you currently have a mental health disorder?,0.058379956951921066,0.0007661134750496419,0.002451098190940655,0.14375863322595359,0.26814674740309896,-0.043011533826368596,0.025508042669577253,-0.17995153696790542,0.1366394477043938,0.054524625959149656,-0.03275424799181421,-0.05625379054314198,-0.13516707588081614,0.07451960600015128,0.18059927760433434,0.5462338304452208,0.04805959321244847,-0.2630330832031364,-0.039263998220617116,-0.15999227628503035,0.05336329575438938,0.44572328819131823,0.755839421251021,1.0,0.737406601237424,0.6428245674182782,0.13022203623057116,0.25075032926893803,-0.002849735783979411,0.004838579079554608,1.0,0.6428245674182782,0.7337099965201422
Have you been diagnosed with a mental health condition by a medical professional?,0.01952970552486627,-0.011940703370871846,0.05199565918100681,0.13280773887899452,0.2782718333130997,-0.007682250431945791,0.04823868885595092,-0.13267127837913276,0.11257606468862796,0.05843324113531242,0.02513322277087063,-0.016148987356413902,-0.09320840958981347,0.07219065277825588,-0.03334485081144951,0.36744510096466504,0.062490135516646665,-0.2022111775201494,-0.041269244634899616,-0.12671313296365014,0.13807166585496594,0.39531297893834044,0.7872127803500566,0.737406601237424,1.0,0.7275094584246073,0.02949303608195739,0.2503030963965931,0.06462561664318991,0.028457211119168196,0.737406601237424,0.7275094584246073,0.9930457755862341
Have you ever sought treatment for a mental health issue from a mental health professional?,0.0494316076681272,-0.000933565599135568,0.02029817166601412,0.13755629052716484,0.24477358206284558,0.03548657139709695,0.06490126158647998,-0.1743649008044069,0.12351062429381715,0.08726692274634372,0.037513886029569385,-0.032012323871817225,-0.08179484115719363,0.0858890239538671,0.13929638020771856,0.4074049686520542,0.08321368174419944,-0.19939408149422744,-0.0018828576672023165,-0.12598430144376113,0.14326148760579713,0.4002306543411742,0.7539337434504102,0.6428245674182782,0.7275094584246073,1.0,0.01995156248557201,0.2802007413884933,0.07093100679790733,0.02298708389927747,0.6428245674182783,1.0,0.7244919570971358
"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",0.10253731887384447,0.05779059357144803,-0.16194958520158564,-0.07396187073784696,-0.035646433648422036,-0.05935129256719563,-0.10329505890456607,-0.09442469831627212,0.13727314286731843,0.08488925209817338,-0.06731480788890346,-0.09390676301211491,-0.08003389070591335,-0.11734457784738153,0.13563492563197171,0.25152862785803093,-0.06470353021029801,0.010684450569055499,-0.034241851747696526,-0.017403320670409755,-0.06099259297756135,0.0298255613343504,0.06987526308074818,0.13022203623057116,0.02949303608195739,0.01995156248557201,1.0,0.3284415374168096,0.0013446339999321334,0.006594277226203934,0.13022203623057124,0.019951562485572023,0.03171424396912715
"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",0.02248665544171796,0.00459779812140342,-0.11726967709061276,0.02386723990407425,0.16797121284741473,0.009534481424011717,-0.028216626554861474,-0.053095204450740036,0.09566014622635598,0.028913133699437585,0.015452307540694236,-0.041227086831151234,-0.013099432847693828,-0.016692978541507152,0.13314765572717588,0.15000985057025257,-0.00890388222385553,-0.1489961011299955,-0.019413175548010576,-0.09785487646739129,0.07861189080067675,0.15085891195600906,0.21650056009786306,0.25075032926893803,0.2503030963965931,0.2802007413884933,0.3284415374168096,1.0,-0.0247591308941091,-0.00507414689867357,0.25075032926893814,0.28020074138849327,0.248930235974203
What is your age?,0.16962741458674604,-0.14120446171032328,-0.05317883181550825,0.14215181066286423,0.036576797490087326,0.07108668189986142,0.14188793451071102,-0.045942631521931024,0.04453371433898632,0.08030155728339343,0.0445877471454126,0.041866713217018486,-0.02833095122259175,-0.01683191647694541,0.019664865060608556,0.062295845852708004,0.14865582025969032,-0.02719958841529517,-0.06300514554531625,-0.03132835371217862,0.028789902497783005,-0.04302039541853031,0.07502861686476732,-0.002849735783979411,0.06462561664318991,0.07093100679790733,0.0013446339999321334,-0.0247591308941091,1.0,0.13794992322492125,-0.002849735783979386,0.07093100679790731,0.06381760112401785
Do you work remotely?,0.2767287513388505,0.20158850113876814,0.05366139096169947,0.11671751140906438,0.03709839050389814,0.013753630094989299,0.06442416957771006,0.16170865725731656,-0.1475460956092067,-0.07291090271726965,0.1578895253442592,0.16342645690527882,0.16085563274479062,0.09277125017159943,0.11140905856824275,0.019942710289597994,0.12342764301607208,-0.03480908871299754,0.038969563506347636,0.09003186897994292,0.09704076408589976,0.019101500289067704,0.0064369322411741816,0.004838579079554608,0.028457211119168196,0.02298708389927747,0.006594277226203934,-0.00507414689867357,0.13794992322492125,1.0,0.004838579079554641,0.022987083899277415,0.03462558274644173
target_current_condition,0.058379956951921066,0.0007661134750496419,0.002451098190940655,0.14375863322595359,0.26814674740309896,-0.043011533826368596,0.025508042669577253,-0.17995153696790542,0.1366394477043938,0.054524625959149656,-0.03275424799181421,-0.05625379054314198,-0.13516707588081614,0.07451960600015128,0.18059927760433434,0.5462338304452208,0.04805959321244847,-0.2630330832031364,-0.039263998220617116,-0.15999227628503035,0.05336329575438938,0.44572328819131823,0.755839421251021,1.0,0.737406601237424,0.6428245674182783,0.13022203623057124,0.25075032926893814,-0.002849735783979386,0.004838579079554641,1.0,0.6428245674182782,0.7337099965201422
target_seek_treatment,0.0494316076681272,-0.000933565599135568,0.02029817166601412,0.13755629052716484,0.24477358206284558,0.03548657139709695,0.06490126158647998,-0.1743649008044069,0.12351062429381715,0.08726692274634372,0.037513886029569385,-0.032012323871817225,-0.08179484115719363,0.0858890239538671,0.13929638020771856,0.4074049686520542,0.08321368174419944,-0.19939408149422744,-0.0018828576672023165,-0.12598430144376113,0.14326148760579713,0.4002306543411742,0.7539337434504102,0.6428245674182782,0.7275094584246073,1.0,0.019951562485572023,0.28020074138849327,0.07093100679790731,0.022987083899277415,0.6428245674182782,1.0,0.7244919570971358
diagnosis_reported_flag,0.019535143538657398,-0.007450537258298635,0.048252173600461565,0.12608810416352298,0.2729146264826301,-0.016409648597032183,0.048616941276787194,-0.13547607794497607,0.11554074066354829,0.06244238810306667,0.02188417210795452,-0.019757070592809806,-0.0974690757693081,0.08156271406709242,-0.03395147691466828,0.3632030372579041,0.05994022147530624,-0.19625127085701172,-0.0361860021349244,-0.1260371998903757,0.1392666559523222,0.3916154245341888,0.7827997782650266,0.7337099965201422,0.9930457755862341,0.7244919570971358,0.03171424396912715,0.248930235974203,0.06381760112401785,0.03462558274644173,0.7337099965201422,0.7244919570971358,1.0
